,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
888,Geelong,2015,7,Sydney,-43,Stadium Australia,77,14.59090909,8.818181818,4.272727273,5.772727273,0.5,1.590909091,2.545454545,1.772727273,2.181818182,1.772727273,1.863636364,5.454545455,9.090909091,0.363636364,0.363636364,0.272727273,1.545454545,-106,555,L,8,Carlton,Docklands,W
889,Geelong,2015,8,Carlton,77,Docklands,140,17.31818182,10.22727273,5,7.090909091,1,1.636363636,2.727272727,1.409090909,2.636363636,1.681818182,1.954545455,5.681818182,11.59090909,0.727272727,0.727272727,0.772727273,1.136363636,-29,695,W,9,West Coast,Subiaco,L
890,Geelong,2015,9,West Coast,-56,Subiaco,64,14.63636364,7.318181818,3.272727273,7.318181818,0.454545455,1.772727273,3.590909091,1.5,1.545454545,1.454545455,2.409090909,5.272727273,9.636363636,0.636363636,0.409090909,0.409090909,1.863636364,-85,759,L,10,Essendon,Docklands,W
891,Geelong,2015,10,Essendon,69,Docklands,122,18.04545455,11.04545455,5.727272727,7,0.863636364,1.454545455,3,1.772727273,2.772727273,1.272727273,1.727272727,6.590909091,11.36363636,0.772727273,0.590909091,0.545454545,2,-16,881,W,11,Port Adelaide,Adelaide Oval,W
892,Geelong,2015,11,Port Adelaide,23,Adelaide Oval,92,15.31818182,9.818181818,3.5,5.5,0.636363636,2.863636364,3.5,1.909090909,2.409090909,2.590909091,2.227272727,6.863636364,8.045454545,0.545454545,0.409090909,0.272727273,2,7,973,W,12,Melbourne,Kardinia Park,L
893,Geelong,2015,12,Melbourne,-24,Kardinia Park,89,13.63636364,7.909090909,3.318181818,5.727272727,0.590909091,2,4.318181818,1.045454545,2.636363636,1.818181818,1.954545455,6,7.454545455,0.590909091,0.5,0.5,2.409090909,-17,1062,L,15,North Melbourne,Docklands,L
894,Geelong,2015,15,North Melbourne,-41,Docklands,79,16,7.136363636,3.318181818,8.863636364,0.5,2.090909091,4.045454545,1.272727273,2.409090909,1.409090909,2.409090909,5.863636364,10.13636364,0.545454545,0.590909091,0.318181818,1.954545455,-58,1141,L,16,Western Bulldogs,Kardinia Park,W
895,Geelong,2015,16,Western Bulldogs,8,Kardinia Park,72,17.86363636,9.5,4.818181818,8.363636364,0.454545455,1.863636364,3.909090909,1.863636364,2.227272727,1.818181818,1.909090909,6.954545455,11.13636364,0.863636364,0.636363636,0.363636364,2.272727273,-50,1213,W,17,Greater Western Sydney,Manuka Oval,W
896,Geelong,2015,17,Greater Western Sydney,27,Manuka Oval,69,16.90909091,8.727272727,4.136363636,8.181818182,0.409090909,1.772727273,2.045454545,1.5,2.409090909,1.636363636,2.227272727,5.772727273,10.77272727,0.727272727,0.681818182,0.318181818,1.818181818,-23,1282,W,18,Brisbane Lions,Kardinia Park,W
897,Geelong,2015,18,Brisbane Lions,56,Kardinia Park,113,18.59090909,9.363636364,5.136363636,9.227272727,0.772727273,1.363636364,3.136363636,1.181818182,2.272727273,1.5,1.909090909,4.954545455,13.86363636,0.318181818,1.045454545,0.590909091,1.227272727,33,1395,W,19,Sydney,Kardinia Park,W
898,Geelong,2015,19,Sydney,32,Kardinia Park,95,19,10.68181818,5.409090909,8.318181818,0.636363636,1.181818182,2.772727273,1.454545455,2.363636364,1.545454545,2.227272727,6.681818182,12.22727273,0.636363636,0.636363636,0.545454545,1.909090909,65,1490,W,20,Hawthorn,M.C.G.,L
