Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Melbourne,Brisbane Lions,The Gabba,13,13,0,1,1382.925735,1481.298117,L
2012,North Melbourne,St Kilda,Etihad Stadium,13,13,0,0,1506.43195,1502.296076,W
2012,St Kilda,North Melbourne,Etihad Stadium,13,13,0,0,1502.296076,1506.43195,L
2012,Carlton,Collingwood,MCG,14,14,0,0,1458.541736,1680.414936,W
2012,Collingwood,Carlton,MCG,14,14,0,0,1680.414936,1458.541736,L
2012,North Melbourne,West Coast,Blundstone Arena,14,14,0,0,1532.929271,1601.695388,L
2012,West Coast,North Melbourne,Blundstone Arena,14,14,0,0,1601.695388,1532.929271,W
2012,Melbourne,Richmond,MCG,14,14,0,0,1368.667585,1506.555015,L
2012,Richmond,Melbourne,MCG,14,14,0,0,1506.555015,1368.667585,W
2012,Brisbane Lions,Sydney,SCG,14,14,0,1,1495.556267,1616.17467,L
2012,Sydney,Brisbane Lions,SCG,14,14,1,0,1616.17467,1495.556267,W
2012,Adelaide,Port Adelaide,AAMI Stadium,14,14,0,0,1625.789463,1408.95154,W
2012,Port Adelaide,Adelaide,AAMI Stadium,14,14,0,0,1408.95154,1625.789463,L
2012,Essendon,St Kilda,Etihad Stadium,14,14,0,0,1602.943182,1475.798755,L
2012,St Kilda,Essendon,Etihad Stadium,14,14,0,0,1475.798755,1602.943182,W
2012,Greater Western Sydney,Hawthorn,MCG,14,14,0,1,1307.569206,1594.225681,L
2012,Hawthorn,Greater Western Sydney,MCG,14,14,1,0,1594.225681,1307.569206,W
2012,Geelong,Gold Coast,Metricon Stadium,14,14,0,1,1560.622638,1253.820607,W
2012,Gold Coast,Geelong,Metricon Stadium,14,14,1,0,1253.820607,1560.622638,L
2012,Fremantle,Western Bulldogs,Patersons Stadium,14,14,1,0,1482.573667,1427.170393,W
2012,Western Bulldogs,Fremantle,Patersons Stadium,14,14,0,1,1427.170393,1482.573667,L
2012,Carlton,North Melbourne,Etihad Stadium,15,15,0,0,1500.481372,1511.352159,L
2012,North Melbourne,Carlton,Etihad Stadium,15,15,0,0,1511.352159,1500.481372,W
2012,Fremantle,Melbourne,Etihad Stadium,15,15,0,1,1499.565397,1351.968108,W
2012,Melbourne,Fremantle,Etihad Stadium,15,15,1,0,1351.968108,1499.565397,L
2012,Essendon,Port Adelaide,AAMI Stadium,15,15,0,1,1566.728931,1396.990911,W
2012,Port Adelaide,Essendon,AAMI Stadium,15,15,1,0,1396.990911,1566.728931,L
2012,Gold Coast,Richmond,Cazaly's Stadium,15,15,0,0,1242.483152,1523.254492,W
2012,Richmond,Gold Coast,Cazaly's Stadium,15,15,0,0,1523.254492,1242.483152,L
2012,Brisbane Lions,St Kilda,The Gabba,15,15,1,0,1482.597842,1512.013006,L
2012,St Kilda,Brisbane Lions,The Gabba,15,15,0,1,1512.013006,1482.597842,W
2012,Collingwood,Geelong,MCG,15,15,0,0,1638.475299,1571.960093,W
2012,Geelong,Collingwood,MCG,15,15,0,0,1571.960093,1638.475299,L
2012,Adelaide,Greater Western Sydney,_koda Stadium,15,15,0,1,1637.750092,1301.716187,W
2012,Greater Western Sydney,Adelaide,_koda Stadium,15,15,1,0,1301.716187,1637.750092,L
2012,Hawthorn,Western Bulldogs,Etihad Stadium,15,15,0,0,1600.0787,1410.178662,W
2012,Western Bulldogs,Hawthorn,Etihad Stadium,15,15,0,0,1410.178662,1600.0787,L
2012,Sydney,West Coast,Patersons Stadium,15,15,0,1,1629.133095,1623.272501,W
2012,West Coast,Sydney,Patersons Stadium,15,15,1,0,1623.272501,1629.133095,L
2012,Essendon,Geelong,Etihad Stadium,16,16,0,0,1586.631324,1550.215669,L
2012,Geelong,Essendon,Etihad Stadium,16,16,0,0,1550.215669,1586.631324,W
2012,Collingwood,Hawthorn,MCG,16,16,0,0,1660.219723,1613.541944,L
2012,Hawthorn,Collingwood,MCG,16,16,0,0,1613.541944,1660.219723,W
2012,Adelaide,West Coast,AAMI Stadium,16,16,1,0,1647.655955,1590.959942,W
2012,West Coast,Adelaide,AAMI Stadium,16,16,0,1,1590.959942,1647.655955,L
2012,Brisbane Lions,Gold Coast,Metricon Stadium,16,16,0,1,1452.04876,1287.227994,W
2012,Gold Coast,Brisbane Lions,Metricon Stadium,16,16,1,0,1287.227994,1452.04876,L
2012,Melbourne,Port Adelaide,TIO Stadium,16,16,0,0,1330.445983,1377.088518,L
2012,Port Adelaide,Melbourne,TIO Stadium,16,16,0,0,1377.088518,1330.445983,W
2012,Carlton,Western Bulldogs,Etihad Stadium,16,16,0,0,1474.503621,1396.715418,W
2012,Western Bulldogs,Carlton,Etihad Stadium,16,16,0,0,1396.715418,1474.503621,L
2012,St Kilda,Sydney,SCG,16,16,0,1,1542.562088,1661.445654,L
